Exposure (mins),Sample 1,Sample 2,Sample 3,Sample 4,Sample 5 ,Sample 6,Sample 7,Sample 8
3.1026132,0.00428988,0.007813355,0.005485859,0.004261181,0.003139997,0.002773555,0.001887169,0.001932439
3.1652901,0.00272977,0.006541294,0.00481003,0.003214691,0.002972575,0.00243006,0.001664885,0.001830167
3.2292332,0.001587885,0.00513483,0.004083855,0.002284839,0.002779174,0.002085772,0.001451086,0.001713377
3.2944681,0.00083942,0.003755635,0.003349795,0.001523559,0.00256231,0.001751358,0.001249315,0.001583334
3.3610207,0.000401013,0.002543516,0.002648745,0.000949292,0.002326157,0.001436653,0.001062415,0.001442256
3.4289179,0.000172195,0.001585394,0.002014812,0.000550562,0.002076384,0.001149838,0.000892432,0.001293223
3.4981866,6.61E-05,0.000904126,0.001471485,0.000296144,0.001819796,0.000896809,0.000740573,0.001139987
3.5688547,2.26E-05,0.000469076,0.00102996,0.000147237,0.001563837,0.000680846,0.000607249,0.000986698
3.6409503,6.85E-06,0.000220206,0.000689782,6.75E-05,0.001315972,0.000502609,0.000492159,0.000837569
3.7145024,1.83E-06,9.31E-05,0.000441353,2.84E-05,0.001083058,0.000360441,0.000394416,0.000696529
3.7895403,4.30E-07,3.52E-05,0.000269449,1.10E-05,0.000870773,0.000250898,0.000312694,0.000566906
3.8660941,8.87E-08,1.19E-05,0.000156781,3.86E-06,0.000683192,0.000169397,0.000245382,0.000451178
3.9441944,1.60E-08,3.57E-06,8.69E-05,1.24E-06,0.00052257,0.000110865,0.00019072,0.00035084
4.0238724,2.51E-09,9.49E-07,4.58E-05,3.65E-07,0.000389344,7.03E-05,0.000146921,0.000266379
4.10516,3.44E-10,2.22E-07,2.30E-05,9.75E-08,0.000282345,4.32E-05,0.000112263,0.000197367
4.1880897,4.10E-11,4.59E-08,1.09E-05,2.37E-08,0.000199162,2.57E-05,8.52E-05,0.000142639
4.2726948,4.25E-12,8.32E-09,4.96E-06,5.23E-09,0.000136579,1.48E-05,6.42E-05,0.000100519
4.3590089,3.83E-13,1.32E-09,2.13E-06,1.05E-09,9.10E-05,8.24E-06,4.81E-05,6.91E-05
4.4470667,3.00E-14,1.84E-10,8.74E-07,1.92E-10,5.89E-05,4.45E-06,3.59E-05,4.62E-05
4.5369035,2.05E-15,2.24E-11,3.41E-07,3.19E-11,3.71E-05,2.33E-06,2.67E-05,3.02E-05
4.628555,1.22E-16,2.39E-12,1.26E-07,4.83E-12,2.26E-05,1.18E-06,1.98E-05,1.92E-05
4.722058,6.32E-18,2.23E-13,4.46E-08,6.67E-13,1.34E-05,5.80E-07,1.46E-05,1.19E-05
4.8174499,2.87E-19,1.83E-14,1.50E-08,8.41E-14,7.75E-06,2.76E-07,1.08E-05,7.22E-06
4.9147688,1.15E-20,1.31E-15,4.84E-09,9.72E-15,4.34E-06,1.28E-07,8.01E-06,4.27E-06
5.0140538,4.04E-22,8.30E-17,1.49E-09,1.03E-15,2.37E-06,5.76E-08,5.94E-06,2.46E-06
5.1153444,1.26E-23,4.62E-18,4.40E-10,1.01E-16,1.26E-06,2.52E-08,4.41E-06,1.39E-06
5.2186812,3.47E-25,2.28E-19,1.24E-10,9.09E-18,6.48E-07,1.08E-08,3.29E-06,7.67E-07
5.3241055,8.57E-27,9.95E-21,3.38E-11,7.59E-19,3.26E-07,4.47E-09,2.46E-06,4.14E-07
5.4316596,1.90E-28,3.88E-22,8.86E-12,5.90E-20,1.60E-07,1.81E-09,1.85E-06,2.19E-07
5.5413864,3.79E-30,1.35E-23,2.24E-12,4.27E-21,7.67E-08,7.20E-10,1.40E-06,1.14E-07
5.6533298,6.87E-32,4.22E-25,5.49E-13,2.90E-22,3.59E-08,2.80E-10,1.07E-06,5.81E-08
5.7675347,1.14E-33,1.19E-26,1.30E-13,1.86E-23,1.65E-08,1.07E-10,8.21E-07,2.91E-08
5.8840466,1.73E-35,3.06E-28,3.00E-14,1.12E-24,7.39E-09,3.99E-11,6.37E-07,1.43E-08
